	Score_Control	miRsControl	DEmiRNAcontrolPercentage	Score_Case	miRsCase	DEmiRNAcasePercentage	TS_Genes	TSgenesPercentage	Module
DE in both: 	4.292	hsa-miR-130a-3p is UP, hsa-miR-20a-5p is not DE	50.00	4.292	hsa-miR-130a-3p is UP, hsa-miR-20a-5p is not DE	50.00	ARHGAP12,C16orf70,CNOT4,HSPA8,LDLR,MAVS,QKI,RPS27A,SMAD4,TGFBR2	20.41	['49', 'hsa-miR-20a-5p', 'hsa-miR-130a-3p', 'RPF2', 'RRAGD', 'RBM20', 'KLHL36', 'LZIC', 'FOXQ1', 'PXK', 'CEP170', 'NIPA1', 'RAN', 'ZNF12', 'SALL3', 'MAVS', 'ZFYVE9', 'MAPK1', 'WASL', 'ZFYVE26', 'TNFRSF10B', 'RPS27A', 'HSPA8', 'POLR1B', 'CAPRIN2', 'BTF3L4', 'CLIC4', 'KIAA1191', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'C16orf70', 'ZBTB4', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'LDLR', 'NFIB', 'QKI', 'TXNIP', 'SMAD4', 'RUNX3', 'SOX4', 'TGFBR2', 'NABP1', 'BMPR2']
DE in both: 	3.723	hsa-miR-1-3p is UP, hsa-miR-21-5p is not DE	50.00	3.723	hsa-miR-1-3p is DOWN, hsa-miR-21-5p is not DE	50.00	TIMP3,TPM1	33.33	['6', 'hsa-miR-21-5p', 'hsa-miR-1-3p', 'KLHL42', 'VEGFA', 'SERPINB5', 'TPM1', 'TIMP3', 'PDCD4']
DE in both: 	3.858	hsa-miR-130a-3p is UP, hsa-miR-21-5p is not DE	50.00	3.858	hsa-miR-130a-3p is UP, hsa-miR-21-5p is not DE	50.00	RDH11,TGFBR2	40.00	['5', 'hsa-miR-21-5p', 'hsa-miR-130a-3p', 'TNFRSF10B', 'RDH11', 'MBNL1', 'TGFBR2', 'BMPR2']
DE in both: 	4.084	hsa-miR-1-3p is UP, hsa-miR-93-5p is not DE	50.00	4.084	hsa-miR-1-3p is DOWN, hsa-miR-93-5p is not DE	50.00	ADAR,CCND1,CRK,YWHAZ	26.67	['15', 'hsa-miR-93-5p', 'hsa-miR-1-3p', 'NFAT5', 'YWHAZ', 'FAM57A', 'VEGFA', 'CRK', 'ADAR', 'NETO2', 'LASP1', 'SLC16A9', 'DDX5', 'CERS2', 'ARCN1', 'ZNF264', 'BRI3BP', 'CCND1']
DE in both: 	4.447	hsa-miR-130a-3p is UP, hsa-miR-93-5p is not DE	50.00	4.447	hsa-miR-130a-3p is UP, hsa-miR-93-5p is not DE	50.00	ARHGAP12,C16orf70,CNOT4,DSTYK,HSPA8,LDLR,MAVS,QKI,RPS27A,SMAD4,TGFBR2	21.57	['51', 'hsa-miR-93-5p', 'hsa-miR-130a-3p', 'RPF2', 'RRAGD', 'RBM20', 'KLHL36', 'LZIC', 'FOXQ1', 'PXK', 'CEP170', 'NIPA1', 'RAN', 'ZNF12', 'SALL3', 'MAVS', 'ZFYVE9', 'MAPK1', 'WASL', 'ZFYVE26', 'TNFRSF10B', 'RPS27A', 'HSPA8', 'POLR1B', 'CAPRIN2', 'BTF3L4', 'CLIC4', 'KIAA1191', 'PTPN4', 'ARHGAP1', 'CNOT4', 'DSTYK', 'ENPP5', 'C16orf70', 'ZBTB4', 'PDZD11', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'LDLR', 'NFIB', 'QKI', 'TXNIP', 'YY1', 'SMAD4', 'SOX4', 'TGFBR2', 'NABP1', 'BMPR2']
DE in both: 	3.057	hsa-miR-34b-3p is UP, hsa-miR-93-5p is not DE	50.00	3.057	hsa-miR-34b-3p is UP, hsa-miR-93-5p is not DE	50.00	MYC	30.77	['3', 'hsa-miR-93-5p', 'hsa-miR-34b-3p', 'CEP97', 'YY1', 'MYC']
DE in both: 	2.704	hsa-miR-18a-3p is DOWN, hsa-miR-93-5p is not DE	50.00	2.704	hsa-miR-18a-3p is DOWN, hsa-miR-93-5p is not DE	50.00	CCDC71L	21.43	['9', 'hsa-miR-93-5p', 'hsa-miR-18a-3p', 'GTF2H2C', 'WDR53', 'RANGAP1', 'CCDC71L', 'ANKRD33B', 'HMGB1', 'KMT2D', 'PTPN4', 'CDKN1A']
DE in both: 	2.802	hsa-miR-1-3p is UP, hsa-miR-34a-5p is not DE	50.00	2.802	hsa-miR-1-3p is DOWN, hsa-miR-34a-5p is not DE	50.00	CCND1	50.00	['7', 'hsa-miR-34a-5p', 'hsa-miR-1-3p', 'DDX19B', 'AXL', 'NOTCH2', 'FOXP1', 'CDK4', 'MET', 'CCND1']
DE in both: 	5.000	hsa-miR-130a-3p is UP, hsa-miR-34a-5p is not DE	50.00	5.000	hsa-miR-130a-3p is UP, hsa-miR-34a-5p is not DE	50.00	CNOT4,PDGFRA,RDH11,SMAD4	50.00	['8', 'hsa-miR-34a-5p', 'hsa-miR-130a-3p', 'RRAGD', 'ARHGAP1', 'CNOT4', 'RDH11', 'PDGFRA', 'TXNIP', 'YY1', 'SMAD4']
DE in both: 	3.000	hsa-miR-34a-5p is not DE, hsa-miR-34b-3p is UP	50.00	3.000	hsa-miR-34a-5p is not DE, hsa-miR-34b-3p is UP	50.00	MYC	100.00	['4', 'hsa-miR-34a-5p', 'hsa-miR-34b-3p', 'YY1', 'NOTCH1', 'MET', 'MYC']
