	Score_Control	miRsControl	DEmiRNAcontrolPercentage	Score_Case	miRsCase	DEmiRNAcasePercentage	TS_Genes	TSgenesPercentage	Module
DE in both: 	3.723	hsa-miR-1-3p is UP, hsa-miR-21-5p is not DE	50.00	3.723	hsa-miR-1-3p is DOWN, hsa-miR-21-5p is not DE	50.00	TIMP3,TPM1	29.41	['6', 'hsa-miR-21-5p', 'hsa-miR-1-3p', 'KLHL42', 'VEGFA', 'SERPINB5', 'TPM1', 'TIMP3', 'PDCD4']
DE in both: 	4.084	hsa-miR-1-3p is UP, hsa-miR-93-5p is not DE	50.00	4.084	hsa-miR-1-3p is DOWN, hsa-miR-93-5p is not DE	50.00	ADAR,CCND1,CRK,YWHAZ	26.67	['15', 'hsa-miR-93-5p', 'hsa-miR-1-3p', 'NFAT5', 'YWHAZ', 'FAM57A', 'VEGFA', 'CRK', 'ADAR', 'NETO2', 'LASP1', 'SLC16A9', 'DDX5', 'CERS2', 'ARCN1', 'ZNF264', 'BRI3BP', 'CCND1']
DE in both: 	4.113	hsa-miR-34a-5p is not DE, hsa-miR-6739-5p is UP	50.00	4.113	hsa-miR-34a-5p is not DE, hsa-miR-6739-5p is DOWN	50.00	CCND1,PDGFRA	100.00	['3', 'hsa-miR-34a-5p', 'hsa-miR-6739-5p', 'PDGFRA', 'E2F3', 'CCND1']
DE in both: 	3.708	hsa-miR-1-3p is UP, hsa-miR-16-5p is not DE	50.00	3.708	hsa-miR-1-3p is DOWN, hsa-miR-16-5p is not DE	50.00	CCND1,FNDC3B,MOV10	23.08	['13', 'hsa-miR-16-5p', 'hsa-miR-1-3p', 'ZCCHC3', 'NUP50', 'FLOT2', 'PIM1', 'PNP', 'VEGFA', 'FNDC3B', 'MOV10', 'NOTCH2', 'SLC25A22', 'TPM3', 'PDCD4', 'CCND1']
DE in both: 	3.723	hsa-miR-16-5p is not DE, hsa-miR-6739-5p is UP	50.00	3.723	hsa-miR-16-5p is not DE, hsa-miR-6739-5p is DOWN	50.00	CCND1,GRB2	50.00	['6', 'hsa-miR-16-5p', 'hsa-miR-6739-5p', 'MINK1', 'FURIN', 'GATAD2A', 'GRB2', 'E2F3', 'CCND1']
DE in both: 	3.409	hsa-miR-1-3p is UP, hsa-miR-15b-5p is not DE	50.00	3.409	hsa-miR-1-3p is DOWN, hsa-miR-15b-5p is not DE	50.00	CCND1,CRK	28.57	['9', 'hsa-miR-15b-5p', 'hsa-miR-1-3p', 'ZCCHC3', 'NUP50', 'FLOT2', 'PGD', 'VEGFA', 'CRK', 'NOTCH2', 'TPM3', 'CCND1']
DE in both: 	7.986	hsa-miR-1-3p is UP, hsa-miR-155-5p is UP	100.00	5.986	hsa-miR-1-3p is DOWN, hsa-miR-155-5p is not DE	50.00	ANXA2,CCND1,LIN7C,MEF2A,PICALM,TWF1	60.00	['10', 'hsa-miR-155-5p', 'hsa-miR-1-3p', 'PSIP1', 'TWF1', 'LIN7C', 'RAB5C', 'ANXA2', 'PICALM', 'WDFY1', 'MEF2A', 'KRAS', 'CCND1']
DE in both: 	6.113	hsa-miR-155-5p is UP, hsa-miR-4428 is UP	100.00	4.113	hsa-miR-155-5p is not DE, hsa-miR-4428 is UP	50.00	MECP2,MIDN	60.00	['3', 'hsa-miR-155-5p', 'hsa-miR-4428', 'TNPO1', 'MIDN', 'MECP2']
DE in both: 	4.113	hsa-miR-122-5p is not DE, hsa-miR-6739-5p is UP	50.00	4.113	hsa-miR-122-5p is not DE, hsa-miR-6739-5p is DOWN	50.00	FHL2,MLF2	19.35	['3', 'hsa-miR-122-5p', 'hsa-miR-6739-5p', 'MLF2', 'ZNF354B', 'FHL2']
DE in both: 	3.604	hsa-let-7a-5p is not DE, hsa-miR-1-3p is UP	50.00	3.604	hsa-let-7a-5p is not DE, hsa-miR-1-3p is DOWN	50.00	CCND1,FNDC3A	42.86	['7', 'hsa-miR-1-3p', 'hsa-let-7a-5p', 'C5orf51', 'ZCCHC3', 'CLDN12', 'FNDC3A', 'ZNF264', 'KRAS', 'CCND1']
