	 miRNAs 	 %DEmiRNA 	 Score 	 Total_miRNAs 	 TS_Gene(s) 	 Module
Only in Control:  	 hsa-miR-1-3p is UP, hsa-miR-155-5p is UP 	 100.00 	 7.986 	 2 	 ANXA2,1; CCND1,1; LIN7C,1; MEF2A,1; PICALM,1; TWF1,1;  	 60.0 	 ['10', 'hsa-miR-155-5p', 'hsa-miR-1-3p', 'PSIP1', 'TWF1', 'LIN7C', 'RAB5C', 'ANXA2', 'PICALM', 'WDFY1', 'MEF2A', 'KRAS', 'CCND1']
Only in Control:  	 hsa-miR-142-3p is UP, hsa-miR-155-5p is UP 	 100.00 	 5.500 	 2 	 CSRP2,1; TWF1,1;  	 60.0 	 ['8', 'hsa-miR-155-5p', 'hsa-miR-142-3p', 'CSRP2', 'TNPO1', 'SECISBP2', 'GNAS', 'ARL15', 'TWF1', 'APC', 'TAB2']
Only in Control:  	 hsa-miR-155-5p is UP, hsa-miR-4428 is UP 	 100.00 	 6.113 	 2 	 MECP2,1; MIDN,1;  	 60.0 	 ['3', 'hsa-miR-155-5p', 'hsa-miR-4428', 'TNPO1', 'MIDN', 'MECP2']
Only in Case:  	 hsa-miR-130a-3p is UP, hsa-miR-148b-3p is UP 	 100.00 	 5.500 	 2 	 CNOT4,1; CSF1,1; EOGT,1;  	 18.75 	 ['16', 'hsa-miR-130a-3p', 'hsa-miR-148b-3p', 'EOGT', 'PPP6R1', 'CCNA2', 'GPRC5A', 'SIK1', 'MLEC', 'ZFYVE26', 'CEP55', 'SLC38A2', 'CNOT4', 'SECISBP2L', 'BTBD3', 'STARD13', 'TXNIP', 'CSF1', 'DICER1']
Only in Case:  	 hsa-miR-4428 is UP, hsa-miR-539-5p is UP 	 100.00 	 6.113 	 2 	 LDLR,1; TRAM2,1;  	 18.75 	 ['3', 'hsa-miR-539-5p', 'hsa-miR-4428', 'TRAM2', 'MSL1', 'LDLR']
Only in Control:  	 hsa-miR-195-5p is DOWN, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 6.220 	 3 	 ARHGAP12,1; CCND1,1; FOXK1,1;  	 30.0 	 ['10', 'hsa-miR-20a-5p', 'hsa-miR-195-5p', 'hsa-miR-519d-3p', 'ELK4', 'MINK1', 'FOXK1', 'ACTR2', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 hsa-miR-155-5p is UP, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 8.409 	 3 	 CCND1,1; CSNK1A1,1; MASTL,1; MECP2,1; MIDN,1; RORA,1; ZBTB18,1;  	 58.333333333333336 	 ['12', 'hsa-miR-20a-5p', 'hsa-miR-155-5p', 'hsa-miR-519d-3p', 'RORA', 'ZBTB18', 'MASTL', 'HBP1', 'MIDN', 'CSNK1A1', 'NARS', 'SLC30A1', 'PTEN', 'MECP2', 'WEE1', 'CCND1']
Only in Control:  	 hsa-miR-1-3p is UP, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 7.044 	 3 	 ADAR,1; CCND1,1; CRK,1; YWHAZ,1;  	 44.44444444444444 	 ['9', 'hsa-miR-20a-5p', 'hsa-miR-1-3p', 'hsa-miR-519d-3p', 'NFAT5', 'YWHAZ', 'CRK', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'BRI3BP', 'CCND1']
Only in Control:  	 hsa-miR-130a-3p is UP, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 6.590 	 3 	 ARHGAP12,1; C16orf70,1; CNOT4,1; HSPA8,1; LDLR,1; MAVS,1; QKI,1; RPS27A,1; SMAD4,1; TGFBR2,1;  	 21.27659574468085 	 ['47', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'RPF2', 'RRAGD', 'RBM20', 'KLHL36', 'LZIC', 'FOXQ1', 'PXK', 'CEP170', 'NIPA1', 'RAN', 'ZNF12', 'SALL3', 'MAVS', 'ZFYVE9', 'MAPK1', 'WASL', 'ZFYVE26', 'TNFRSF10B', 'RPS27A', 'HSPA8', 'POLR1B', 'CAPRIN2', 'BTF3L4', 'CLIC4', 'KIAA1191', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'C16orf70', 'ZBTB4', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'LDLR', 'NFIB', 'QKI', 'TXNIP', 'SMAD4', 'SOX4', 'TGFBR2', 'NABP1']
Only in Control:  	 hsa-miR-142-3p is UP, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 5.485 	 3 	 C16orf70,1; MFSD8,1;  	 20.408163265306122 	 ['11', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-142-3p', 'MFSD8', 'WASL', 'HMGB1', 'YOD1', 'SUCO', 'SLC35F5', 'CLIC4', 'MORF4L1', 'KIAA1191', 'C16orf70', 'PPP1R15B']
Only in Control:  	 hsa-miR-20a-5p is not DE, hsa-miR-4428 is UP, hsa-miR-519d-3p is DOWN 	 66.67 	 7.013 	 3 	 LDLR,1; MECP2,1; MIDN,1;  	 60.0 	 ['5', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-4428', 'WAC', 'MIDN', 'MAPRE3', 'LDLR', 'MECP2']
Only in Control:  	 hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-6739-5p is UP 	 66.67 	 5.950 	 3 	 ACVR1B,1; CCND1,1;  	 23.076923076923077 	 ['6', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-6739-5p', 'MINK1', 'ACVR1B', 'WAC', 'ZBTB33', 'LASP1', 'CCND1']
Only in Case:  	 hsa-miR-130a-3p is UP, hsa-miR-148a-3p is not DE, hsa-miR-148b-3p is UP 	 66.67 	 5.268 	 3 	 CNOT4,1; EOGT,1;  	 16.666666666666664 	 ['15', 'hsa-miR-148a-3p', 'hsa-miR-130a-3p', 'hsa-miR-148b-3p', 'EOGT', 'PPP6R1', 'CCNA2', 'GPRC5A', 'SIK1', 'MLEC', 'ZFYVE26', 'CEP55', 'SLC38A2', 'CNOT4', 'SECISBP2L', 'BTBD3', 'STARD13', 'TXNIP', 'DICER1']
Only in Control:  	 hsa-miR-195-5p is DOWN, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 66.67 	 6.220 	 3 	 ARHGAP12,1; CCND1,1; FOXK1,1;  	 30.0 	 ['10', 'hsa-miR-93-5p', 'hsa-miR-195-5p', 'hsa-miR-519d-3p', 'ELK4', 'MINK1', 'FOXK1', 'ACTR2', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 hsa-miR-155-5p is UP, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 66.67 	 8.409 	 3 	 CCND1,1; CSNK1A1,1; MASTL,1; MECP2,1; MIDN,1; RORA,1; ZBTB18,1;  	 58.333333333333336 	 ['12', 'hsa-miR-93-5p', 'hsa-miR-155-5p', 'hsa-miR-519d-3p', 'RORA', 'ZBTB18', 'MASTL', 'HBP1', 'MIDN', 'CSNK1A1', 'NARS', 'SLC30A1', 'PTEN', 'MECP2', 'WEE1', 'CCND1']
Only in Control:  	 hsa-miR-1-3p is UP, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 66.67 	 7.044 	 3 	 ADAR,1; CCND1,1; CRK,1; YWHAZ,1;  	 44.44444444444444 	 ['9', 'hsa-miR-93-5p', 'hsa-miR-1-3p', 'hsa-miR-519d-3p', 'NFAT5', 'YWHAZ', 'CRK', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'BRI3BP', 'CCND1']
