	 Score 	 miRNAs 	 DEmiRNAPercentage 	 Total_miRNAs 	 TS_Genes 	 TSgenesPercentage 	 Module
Only in Control:  	 3.195 	 hsa-miR-142-3p is UP, hsa-miR-20a-5p is not DE 	 50.00 	 2 	 C16orf70,MFSD8 	 16.67 	 ['12', 'hsa-miR-20a-5p', 'hsa-miR-142-3p', 'MFSD8', 'WASL', 'HMGB1', 'KLHL15', 'YOD1', 'SUCO', 'SLC35F5', 'CLIC4', 'MORF4L1', 'KIAA1191', 'C16orf70', 'PPP1R15B']
Only in Case:  	 3.329 	 hsa-miR-20a-5p is not DE, hsa-miR-539-5p is UP 	 50.00 	 2 	 CCDC71L,LDLR 	 20.00 	 ['10', 'hsa-miR-20a-5p', 'hsa-miR-539-5p', 'ZMYM1', 'PCLAF', 'CCDC71L', 'REST', 'GLO1', 'LAMTOR1', 'NUFIP2', 'ENPP5', 'LDLR', 'SOD2']
Only in Case:  	 3.858 	 hsa-miR-20a-5p is not DE, hsa-miR-3910 is UP 	 50.00 	 2 	 EFCAB14,MYLIP 	 40.00 	 ['5', 'hsa-miR-20a-5p', 'hsa-miR-3910', 'KLHL15', 'EFCAB14', 'ICMT', 'ARHGAP1', 'MYLIP']
Only in Case:  	 3.853 	 hsa-miR-146a-5p is UP, hsa-miR-146b-5p is not DE 	 50.00 	 2 	 BCL7B,IRAK1,SQSTM1,ZNF629 	 22.22 	 ['18', 'hsa-miR-146a-5p', 'hsa-miR-146b-5p', 'CYTIP', 'ZNF629', 'GPM6B', 'LSM4', 'AKAP8', 'PPWD1', 'TMEM167A', 'MICAL2', 'MBD4', 'NACC1', 'BCL7B', 'SQSTM1', 'KCTD15', 'PPP1R11', 'ATG9A', 'SRPRB', 'IRAK1', 'TRAF6']
Only in Control:  	 3.000 	 hsa-miR-155-5p is UP, hsa-miR-21-5p is not DE 	 50.00 	 2 	 PELI1 	 29.41 	 ['4', 'hsa-miR-21-5p', 'hsa-miR-155-5p', 'SOCS6', 'TNPO1', 'PELI1', 'PTEN']
Only in Control:  	 3.000 	 hsa-miR-142-3p is UP, hsa-miR-21-5p is not DE 	 50.00 	 2 	 FRS2 	 33.33 	 ['4', 'hsa-miR-21-5p', 'hsa-miR-142-3p', 'KLHL15', 'FRS2', 'YOD1', 'TNPO1']
Only in Case:  	 3.340 	 hsa-miR-148a-3p is not DE, hsa-miR-148b-3p is UP 	 50.00 	 2 	 CCKBR,CNOT4,EOGT,LNPEP 	 13.79 	 ['29', 'hsa-miR-148a-3p', 'hsa-miR-148b-3p', 'KIAA0907', 'KPNA4', 'LNPEP', 'HLA-C', 'EOGT', 'MAP3K9', 'PPP6R1', 'ABLIM1', 'CCNA2', 'WNT2B', 'GPRC5A', 'SIK1', 'MLEC', 'ZFYVE26', 'CEP55', 'AGO2', 'SLC38A2', 'GAS1', 'DDX6', 'CNOT4', 'SECISBP2L', 'BTBD3', 'HLA-A', 'STARD13', 'CCKBR', 'TXNIP', 'DICER1', 'ROCK1', 'CDKN1B']
Only in Control:  	 3.000 	 hsa-miR-197-3p is UP, hsa-miR-93-5p is not DE 	 50.00 	 2 	 TUSC2 	 45.45 	 ['4', 'hsa-miR-93-5p', 'hsa-miR-197-3p', 'LRRC58', 'ZNF417', 'SOD2', 'TUSC2']
Only in Control:  	 3.792 	 hsa-miR-142-3p is UP, hsa-miR-93-5p is not DE 	 50.00 	 2 	 C16orf70,FRS2,MFSD8 	 25.00 	 ['12', 'hsa-miR-93-5p', 'hsa-miR-142-3p', 'MFSD8', 'WASL', 'HMGB1', 'FRS2', 'YOD1', 'SUCO', 'SLC35F5', 'CLIC4', 'MORF4L1', 'KIAA1191', 'C16orf70', 'PPP1R15B']
Only in Case:  	 3.329 	 hsa-miR-539-5p is UP, hsa-miR-93-5p is not DE 	 50.00 	 2 	 CCDC71L,LDLR 	 20.00 	 ['10', 'hsa-miR-93-5p', 'hsa-miR-539-5p', 'ZMYM1', 'PCLAF', 'CCDC71L', 'GLO1', 'LAMTOR1', 'SAMD12', 'NUFIP2', 'ENPP5', 'LDLR', 'SOD2']
